      Age   Thickness   Depth
        1132        1.08    2463.38
        1133        1.60    2464.98
        1134        2.80    2467.78
        1135        1.28    2469.06
        1136        0.88    2469.94
        1137        2.28    2472.22
        1138        1.40    2473.62
        1139        1.64    2475.26
        1140        1.76    2477.02
        1141        1.24    2478.26
        1142        2.24    2480.50
        1143        1.88    2482.38
        1144        1.20    2483.58
        1145        1.84    2485.42
        1146        1.68    2487.10
        1147        1.88    2488.98
        1148        1.80    2490.78
        1149        1.32    2492.10
        1150        1.60    2493.70
        1151        2.40    2496.10
        1152        1.64    2497.74
        1153        1.52    2499.26
        1154        0.88    2500.14
        1155        1.48    2501.62
        1156        1.60    2503.22
        1157        0.92    2504.14
        1158        1.20    2505.34
        1159        0.48    2505.82
        1160        1.20    2507.02
        1161        1.60    2508.62
        1162        1.40    2510.02
        1163        1.64    2511.66
        1164        0.96    2512.62
        1165        1.20    2513.82
        1166        1.68    2515.50
        1167        2.04    2517.54
        1168        2.48    2520.02
        1169        1.64    2521.66
        1170        1.48    2523.14
        1171        2.96    2526.10
        1172        2.28    2528.38
        1173        2.72    2531.10
        1174        1.68    2532.78
        1175        2.80    2535.58
        1176        1.64    2537.22
        1177        2.40    2539.62
        1178        1.84    2541.46
        1179        1.64    2543.10
        1180        1.28    2544.38
